Title,humidity,temperature,pressure,voc,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,data_cleaned
0,54.6,62.167,1004.98,,0.01,0.9,1.0,0.8,3.5,3.6,3.4,3.5,3.6,3.4,275.1,273.2,277.0,232.0835,237.569,226.598,62.931,65.493,60.369,8.5665,10.022,7.111,1.276,1.52,1.032,0.287,0.33,0.244,0.097,0.102,0.092,0.3455,0.412,0.279,0.3455,0.412,0.279,0.8160000000000001,0.983,0.649,0.8160000000000001,0.983,0.649,1.1325,1.329,0.936,1.1325,1.329,0.936,
0,56.334,62.433,1006.175,,0.01,2.1,2.1,2.1,8.0,7.7,8.3,6.7,6.6,6.9,198.9,202.3,195.6,533.739,515.264,552.214,148.1455,145.474,150.817,18.229,19.079,17.379,2.3085,2.639,1.978,0.532,0.53,0.534,0.2335,0.203,0.264,2.646,3.264,2.028,2.434,2.843,2.025,3.4435,3.954,2.933,3.655,4.377,2.933,3.952,4.44,3.464,4.164,4.864,3.464,
0,52.433,63.367,1006.01,,0.01,1.3,1.3,1.3,5.3,5.1,5.5,4.9,4.8,5.1,238.0,241.5,234.6,354.9225,341.746,368.099,97.8295,95.637,100.022,10.6435,11.137,10.15,1.378,1.648,1.108,0.305,0.356,0.254,0.141,0.137,0.145,1.0225,1.032,1.013,1.0225,1.032,1.013,1.593,1.623,1.563,1.593,1.623,1.563,1.92,2.003,1.837,1.92,2.003,1.837,
0,51.167,64.167,1006.036,,0.01,3.4,3.2,3.5,13.5,12.7,14.3,9.6,9.3,10.0,149.0,154.6,143.8,898.5705,845.855,951.286,249.7365,241.439,258.034,27.4115,27.178,27.645,2.52,3.033,2.007,0.515,0.57,0.46,0.2405,0.289,0.192,4.1215,4.008,4.235,4.1215,4.008,4.235,5.5120000000000005,5.455,5.569,5.5120000000000005,5.455,5.569,6.0555,6.048,6.063,6.0555,6.048,6.063,
0,54.666,62.7,1005.728,,0.01,2.9,2.9,2.9,11.1,10.8,11.5,8.5,8.3,8.7,167.0,169.9,164.1,742.171,719.926,764.416,207.9135,205.184,210.643,25.24,25.541,24.939,2.635,2.962,2.308,0.6165,0.641,0.592,0.2045,0.193,0.216,3.2465,3.252,3.241,3.2465,3.252,3.241,4.564,4.625,4.503,4.564,4.625,4.503,5.2075,5.308,5.107,5.2075,5.308,5.107,
0,57.6,62.3,1005.576,,0.01,7.8,7.7,7.9,27.5,27.0,27.9,14.6,14.5,14.7,90.8,91.9,89.6,1831.818,1802.246,1861.39,519.2265,521.271,517.182,74.655,74.942,74.368,7.974500000000001,10.05,5.899,1.2685,1.294,1.243,0.426,0.396,0.456,9.969,10.256,9.682,9.075,9.279,8.871,13.1745,13.609,12.74,14.4275,15.022,13.833,15.0845,15.627,14.542,15.879,16.538,15.22,
0,55.133,62.633,1005.876,,0.01,2.4,2.5,2.4,9.4,9.1,9.7,7.6,7.4,7.7,183.2,185.9,180.6,627.0609999999999,609.694,644.428,175.1035,173.62,176.587,20.852,22.034,19.67,2.101,2.389,1.813,0.475,0.491,0.459,0.1735,0.15,0.197,2.5825,2.598,2.567,2.5825,2.598,2.567,3.6785,3.756,3.601,3.6785,3.756,3.601,4.1465,4.233,4.06,4.1465,4.233,4.06,
0,52.7,62.233,1006.361,,0.01,2.6,2.6,2.7,10.7,10.2,11.3,8.3,8.0,8.5,170.7,175.6,165.9,714.0730000000001,678.066,750.08,198.8195,192.379,205.26,20.9075,21.367,20.448,1.8385,2.25,1.427,0.368,0.422,0.314,0.124,0.129,0.119,3.732,4.287,3.177,3.5145,3.852,3.177,4.5745000000000005,4.979,4.17,4.793,5.416,4.17,4.948,5.431,4.465,5.166,5.867,4.465,
0,52.4,63.867,1006.603,,0.01,13.4,12.9,13.8,48.2,46.4,49.9,19.1,18.8,19.4,57.5,59.4,55.8,3210.286,3092.251,3328.321,904.241,889.434,919.048,123.732,122.82,124.644,12.3415,15.216,9.467,1.976,2.154,1.798,0.6955,0.72,0.671,17.924,18.221,17.627,17.11,17.275,16.945,24.0445,24.316,23.773,25.14,25.662,24.618,27.026,27.566,26.486,27.398000000000003,28.135,26.661,
0,54.4,63.0,1007.245,,0.01,8.0,7.4,8.6,32.1,29.5,34.8,15.8,15.1,16.4,80.3,85.9,75.4,2142.9085,1967.901,2317.916,594.5245,557.586,631.463,63.3605,59.701,67.02,5.0845,6.071,4.098,0.758,0.854,0.662,0.263,0.278,0.248,11.512,11.053,11.971,10.7755,10.466,11.085,14.363,13.956,14.77,14.9405,14.383,15.498,15.72,15.283,16.157,15.8015,15.323,16.28,
